names,scores,method,logfoldchanges,pvals,pvals_adj
mmp19.like.2.L,17.42026,wilcoxon,5.693515,5.7914012060144394e-68,3.3205788551211884e-65
loc100494515.like.L,17.372635,wilcoxon,3.803304,1.3297605029412142e-67,7.488213832187712e-65
lum.L,17.369127,wilcoxon,5.1763144,1.4136190784622315e-67,7.82078555075552e-65
zfp36l1.S,17.367182,wilcoxon,4.0683827,1.4623356142786543e-67,7.950819585565063e-65
s100a11.L,17.292019,wilcoxon,4.0104628,5.402562692338241e-67,2.8876239746251937e-64
lpar3.L,17.283075,wilcoxon,6.844422,6.309212584028354e-67,3.3160169806222355e-64
p4hb.L,17.236238,wilcoxon,3.4081821,1.4198014236424919e-66,7.339907851568193e-64
cdh1.S,17.17521,wilcoxon,3.3899841,4.0716622912069867e-66,2.0709656508582634e-63
bhlha9.S,17.08605,wilcoxon,5.1150146,1.8851991752486896e-65,9.436469204994828e-63
nccrp1.L,17.07233,wilcoxon,3.6225748,2.3848722535257104e-65,1.1751085392958325e-62
higd1a.L,17.031343,wilcoxon,3.2745073,4.808666401640508e-65,2.3329429996266683e-62
tmsb4x.L,17.030006,wilcoxon,4.687872,4.919922791476564e-65,2.350754018624446e-62
egfl6.L,17.012497,wilcoxon,6.252392,6.634826969023245e-65,3.122824902509672e-62
ereg.L,16.952103,wilcoxon,4.235761,1.8568933525439053e-64,8.61134292242236e-62
ctnnb1.S,16.837465,wilcoxon,2.8133762,1.2967228803329664e-63,5.9263994248261005e-61
prdm1.L,16.81888,wilcoxon,4.635431,1.7747951070057763e-63,7.995451957061022e-61
Xelaev18038148m.g,16.794634,wilcoxon,4.019862,2.6714371748548826e-63,1.1865319902682919e-60
efemp2.L,16.763895,wilcoxon,4.673319,4.4826850707891753e-63,1.963353801490787e-60
bmp4.S,16.752445,wilcoxon,4.3624144,5.434514640953322e-63,2.347635879485795e-60
vwde.L,16.533924,wilcoxon,6.237883,2.090809602261519e-61,8.909956865853648e-59
myl6.S,16.489166,wilcoxon,2.497648,4.389667931615766e-61,1.8225141541477185e-58
megf6.S,16.48913,wilcoxon,4.890163,4.392296677191267e-61,1.8225141541477185e-58
sox11.L,16.477654,wilcoxon,3.4103405,5.310649880579337e-61,2.1749525192736286e-58
hmcn1.L,16.472137,wilcoxon,5.1055694,5.817862444503384e-61,2.352131951120695e-58
ccdc3.L,16.325203,wilcoxon,4.1411505,6.532216237902504e-60,2.607511886863993e-57
net1.L,16.263498,wilcoxon,3.6681046,1.7920584239294066e-59,7.064070299826729e-57
calm1.S,16.250395,wilcoxon,2.4647481,2.21932053429521e-59,8.640280623333265e-57
bmp2.L,16.18149,wilcoxon,5.0341854,6.812506467853828e-59,2.6199072129728107e-56
krt12.L,16.176336,wilcoxon,5.5255,7.407382191597195e-59,2.814359004964067e-56
ctsv.S,16.170485,wilcoxon,2.6766963,8.145544906299887e-59,3.0579733169067495e-56
bmp7.1.L,16.071194,wilcoxon,3.8420596,4.061888986890298e-58,1.5069608141363006e-55
ptgs1.S,16.014599,wilcoxon,4.1216707,1.0105739967916393e-57,3.705633835909807e-55
hes4.L,15.977039,wilcoxon,3.5098011,1.847118316886108e-57,6.695273117586599e-55
ly6g6c.L,15.948544,wilcoxon,4.943396,2.9162096245338137e-57,1.0450303467008389e-54
krt12.S,15.945839,wilcoxon,4.805918,3.045226193901622e-57,1.0790023373560411e-54
ctnnb1.L,15.854787,wilcoxon,3.1131628,1.3026827415554107e-56,4.564455583883319e-54
fgf9.L,15.820972,wilcoxon,6.823054,2.2302016560609284e-56,7.728506508118832e-54
hpgd.L,15.809487,wilcoxon,3.5800347,2.6763614601059645e-56,9.173810722221912e-54
col1a1.L,15.611892,wilcoxon,4.113085,6.041874341430614e-55,2.048715132871123e-52
col1a1.S,15.49691,wilcoxon,4.2416677,3.6398047755317437e-54,1.2200126669471283e-51
acvr1.L,15.496286,wilcoxon,4.0954013,3.6753195928326366e-54,1.2200126669471283e-51
abracl.L,15.477186,wilcoxon,2.5351954,4.946421204250591e-54,1.6133036395233307e-51
gjb3.L,15.476977,wilcoxon,3.2951083,4.962437070992963e-54,1.6133036395233307e-51
wasf2.L,15.370823,wilcoxon,2.958592,2.5688537143169798e-53,8.182707260705652e-51
unc5b.L,15.350583,wilcoxon,4.7845297,3.510167600154407e-53,1.1069313527086923e-50
tinagl1.S,15.303619,wilcoxon,5.700112,7.232051473332895e-53,2.258046962490622e-50
msx1.S,15.212224,wilcoxon,4.1634965,2.9340495700734746e-52,9.071103254143826e-50
cldn7.L,15.13603,wilcoxon,3.3116686,9.37012181710469e-52,2.8688038009941396e-49
cpa6.L,14.9770155,wilcoxon,7.46888,1.0377374276859972e-50,3.1466394021228775e-48
gpx7.L,14.964028,wilcoxon,3.2940056,1.261524643791722e-50,3.788779013521138e-48
loc100486548.S,14.962753,wilcoxon,3.830636,1.285935187405557e-50,3.825657182531532e-48
snai2.L,14.948527,wilcoxon,4.3697762,1.5923071217040944e-50,4.6928415965363194e-48
anxa1.S,14.924309,wilcoxon,3.004895,2.2899648924959606e-50,6.659360081784163e-48
dlx3.S,14.923965,wilcoxon,3.7546754,2.3017924493878983e-50,6.659360081784163e-48
prdm1.S,14.904087,wilcoxon,4.0838037,3.1002130002495067e-50,8.887746996624382e-48
