names,scores,method,logfoldchanges,pvals,pvals_adj
palm3.like.L,0.023622748,logreg,,,
enpp2.S,0.023547327,logreg,,,
Xelaev18045084m.g,0.023547126,logreg,,,
loc100490088.L,0.023529232,logreg,,,
atp8b2.like.L,0.023512548,logreg,,,
apoc1.like.L,23.199377,wilcoxon,11.9400215,4.619613511983426e-119,1.4567951210039733e-114
col14a1.S,23.131649,wilcoxon,7.209006,2.2246014519590663e-118,3.5076403393764576e-114
loc100486548.L,22.99102,wilcoxon,6.3813276,5.7326352831710086e-117,6.025955121826592e-113
lama5.L,22.179453,wilcoxon,6.04904,5.423381921945016e-109,4.275658722713402e-105
fras1.L,22.033724,wilcoxon,6.385386,1.3684606137715745e-107,8.63088109105732e-104
fn1.S,21.891489,wilcoxon,6.9203176,3.131156776673621e-106,1.645683815873377e-102
mdk.L,21.77851,wilcoxon,6.3971443,3.709440041720176e-105,1.6711027387949394e-101
bambi.L,21.542088,wilcoxon,6.1344867,6.281202981895407e-103,2.4759717004258956e-99
id3.S,21.466759,wilcoxon,5.644285,3.184755938683299e-102,1.1159030947375315e-98
frem2.1.L,21.327309,wilcoxon,7.9581704,6.334934429275918e-101,1.9977215722721606e-97
col14a1.L,21.31557,wilcoxon,5.772164,8.140887095363737e-101,2.3338443141117767e-97
nid2.L,20.90202,wilcoxon,7.4233384,5.132621575448145e-97,1.3488101781813102e-93
id3.L,20.63708,wilcoxon,5.237351,1.2754127496671224e-94,3.093857004673285e-91
msx2.L,20.531673,wilcoxon,5.2005258,1.1224355679054771e-93,2.5282861167070872e-90
mmp3.L,20.14802,wilcoxon,7.296616,2.8009574495492943e-90,5.8885462114358e-87
Xetrov90029035m.L,20.109632,wilcoxon,9.707827,6.077204010258474e-90,1.1818169094179404e-86
cpamd8.L,20.10729,wilcoxon,5.159823,6.370980643762482e-90,1.1818169094179404e-86
lama1.L,19.892324,wilcoxon,6.0188117,4.742590275992624e-88,8.308754686301523e-85
pltp.S,19.768663,wilcoxon,8.107944,5.542481607481217e-87,9.199060920627377e-84
krt8.L,19.741978,wilcoxon,5.8638673,9.402654525188187e-87,1.4825635522590473e-83
egfl6.S,19.612349,wilcoxon,5.384151,1.2129933395016926e-85,1.821511664818375e-82
plk2.S,19.553583,wilcoxon,4.6992297,3.8454188327701006e-85,5.512058313245688e-82
azin2.S,19.522118,wilcoxon,5.078329,7.122399559776579e-85,9.765429135545844e-82
fstl1.L,19.518387,wilcoxon,4.8641768,7.661803172591903e-85,1.0067290126986902e-81
bambi.S,19.052616,wilcoxon,4.9340267,6.249972602162393e-81,7.883715440367644e-78
myh9.S,19.00859,wilcoxon,3.996187,1.4478921254676003e-80,1.7561260837161838e-77
frem2.L,18.817657,wilcoxon,4.7707,5.412569341702806e-79,6.321680525577703e-76
krt5.7.S,18.76401,wilcoxon,5.88578,1.4874408440943138e-78,1.675230250661221e-75
krt18.L,18.40354,wilcoxon,5.9567447,1.230568547827817e-75,1.3381372122672486e-72
optc.S,18.389658,wilcoxon,6.715825,1.5897896007329357e-75,1.671133835303771e-72
mdk.S,18.362,wilcoxon,5.0833526,2.646830890241365e-75,2.692510068508434e-72
Xelaev18026267m.g,18.354813,wilcoxon,6.8516045,3.0212847716337457e-75,2.9773817272959427e-72
cldn6.2.S,18.347248,wilcoxon,5.3979187,3.4725898823316015e-75,3.3184279375553655e-72
sparc.L,18.28055,wilcoxon,4.505556,1.1822711102389532e-74,1.096556454746629e-71
Xelaev18017960m.g,18.278936,wilcoxon,5.291916,1.217796754664254e-74,1.0972348759524928e-71
sparc.S,18.237083,wilcoxon,5.025244,2.620772745361197e-74,2.2957241256934822e-71
lamc1.S,18.176949,wilcoxon,4.9402294,7.858771130953745e-74,6.698009394989901e-71
mxra5.S,18.137672,wilcoxon,6.4974732,1.606917898017278e-73,1.3335304187888122e-70
btg1.L,18.024288,wilcoxon,3.5239303,1.2561997182775666e-72,1.0157502080995658e-69
epcam.L,17.8302,wilcoxon,4.924059,4.119501001141491e-71,3.247711601774923e-68
app.S,17.657566,wilcoxon,3.991408,8.899498089776088e-70,6.845016396611926e-67
lamc1.L,17.495802,wilcoxon,4.6876597,1.542246053338703e-68,1.1579697450484763e-65
gpx3.L,17.452448,wilcoxon,4.266476,3.29788565623129e-68,2.4185773062617148e-65
loc100490088.S,17.385307,wilcoxon,5.4048185,1.0661585517485314e-67,7.641206802134078e-65
cldn1.L,17.312254,wilcoxon,4.259109,3.802399718168667e-67,2.664637224721087e-64
zfp36l1.S,17.29061,wilcoxon,4.200124,5.536420243495207e-67,3.7177464016663135e-64
bmp4.L,17.290562,wilcoxon,4.7601585,5.540957059721475e-67,3.7177464016663135e-64
igfbp2.S,17.26484,wilcoxon,4.8979464,8.654592333529509e-67,5.6858868591219386e-64
mmp19.like.2.L,17.194448,wilcoxon,5.78679,2.922280371653419e-66,1.880696153471236e-63
p4hb.L,17.068144,wilcoxon,3.5305588,2.56217457578785e-65,1.615963504949397e-62
cpz.S,17.006554,wilcoxon,3.9415147,7.3431191063270074e-65,4.540495314078866e-62
vcan.L,17.002758,wilcoxon,4.37294,7.834512268412416e-65,4.751179699699722e-62
loc100494515.like.L,16.917324,wilcoxon,3.8734186,3.353192756273662e-64,1.9761775711363323e-61
cldn6.1.S,16.916786,wilcoxon,4.905977,3.383973009080766e-64,1.9761775711363323e-61
bcam.L,16.88993,wilcoxon,4.5487766,5.336647351943254e-64,3.059839531700555e-61
lpar3.L,16.882526,wilcoxon,6.917335,6.049956224343402e-64,3.406881598833378e-61
bhlha9.S,16.876453,wilcoxon,5.1728215,6.705320186689972e-64,3.709688983987163e-61
cdh1.S,16.81292,wilcoxon,3.4447324,1.9626215752128276e-63,1.0670908857644228e-60
loc100490088.L,16.777271,wilcoxon,5.0599675,3.5790886712164144e-63,1.9129925635052478e-60
vwa2.S,16.770142,wilcoxon,5.321592,4.0354654858676593e-63,2.120973401613944e-60
prdm1.L,16.694576,wilcoxon,4.7437406,1.4353470275546078e-62,7.420273526874518e-60
epcam.S,16.659428,wilcoxon,4.416877,2.5848359964022245e-62,1.3147226313958735e-59
higd1a.L,16.568527,wilcoxon,3.3236437,1.1767309462770885e-61,5.890192125531425e-59
nccrp1.L,16.511356,wilcoxon,3.6300666,3.0396918594293924e-61,1.4977606685485294e-58
s100a11.L,16.429314,wilcoxon,3.9679248,1.179863359315388e-60,5.7241524670785786e-58
lum.L,16.417774,wilcoxon,5.072646,1.4270639537835703e-60,6.818554815540135e-58
tmsb4x.L,16.37354,wilcoxon,4.715328,2.955054047507004e-60,1.3908601401213938e-57
egfl6.L,16.351559,wilcoxon,6.246901,4.240007440434224e-60,1.966303450501371e-57
efemp2.L,16.277872,wilcoxon,4.684172,1.4171255097919039e-59,6.476674340766331e-57
bmp4.S,16.23751,wilcoxon,4.4151244,2.7381046828674006e-59,1.233516159631764e-56
ccdc3.L,16.190474,wilcoxon,4.2363887,5.887339724215408e-59,2.6148909606075054e-56
ereg.L,16.187914,wilcoxon,4.2017407,6.137340204108671e-59,2.6880697685634296e-56
ctnnb1.S,16.170927,wilcoxon,2.8355823,8.087322072016922e-59,3.4936123498774477e-56
vwde.L,16.112736,wilcoxon,6.303995,2.0762790824555147e-58,8.848035252058737e-56
hmcn1.L,16.096853,wilcoxon,5.1630154,2.684135869861294e-58,1.128589662081012e-55
sox11.L,15.995413,wilcoxon,3.4924939,1.3754296649297104e-57,5.707128221520844e-55
myl6.S,15.953343,wilcoxon,2.5241108,2.700454548163983e-57,1.1059588854071584e-54
ctsv.S,15.945108,wilcoxon,2.7927556,3.08104018821978e-57,1.2456487478911637e-54
calm1.S,15.857965,wilcoxon,2.5184758,1.2384047298550295e-56,4.943429513414981e-54
megf6.S,15.847087,wilcoxon,4.885867,1.4724969148740502e-56,5.804398776319146e-54
net1.L,15.8315525,wilcoxon,3.7585347,1.8851063954876266e-56,7.339114837247198e-54
ptgs1.S,15.64281,wilcoxon,4.201814,3.719483246864137e-55,1.4304134657300067e-52
Xelaev18038148m.g,15.584101,wilcoxon,3.9454832,9.336813907377894e-55,3.5474268261344805e-52
krt12.L,15.568915,wilcoxon,5.573508,1.1839704307681531e-54,4.444822325508775e-52
ctnnb1.L,15.555176,wilcoxon,3.1782837,1.4675170569549416e-54,5.444488281302833e-52
bmp2.L,15.523843,wilcoxon,4.9925747,2.3928122575549196e-54,8.774108667673766e-52
hes4.L,15.43586,wilcoxon,3.5292497,9.39402693482891e-54,3.405064820572755e-51
bmp7.1.L,15.423744,wilcoxon,3.8524702,1.133388053677859e-53,4.0615218491740093e-51
krt12.S,15.391872,wilcoxon,4.862451,1.8558212226208443e-53,6.575654185994194e-51
sp9.L,15.348198,wilcoxon,8.523535,3.6416458655270505e-53,1.2759922485488393e-50
ly6g6c.L,15.277854,wilcoxon,4.9641414,1.0741959888851748e-52,3.722502253790548e-50
gjb3.L,15.037409,wilcoxon,3.3545716,4.17576411840954e-51,1.4313339290657047e-48
unc5b.L,14.951768,wilcoxon,4.844866,1.5166896312998567e-50,5.1428825293592457e-48
acvr1.L,14.916507,wilcoxon,4.1296153,2.57401615706708e-50,8.635276543947913e-48
dlx3.S,14.86099,wilcoxon,3.847728,5.904674953739219e-50,1.9600413122754341e-47
fgf9.L,14.819873,wilcoxon,6.6480236,1.0899004993512598e-49,3.543300231653812e-47
fgf7.L,14.78786,wilcoxon,7.391785,1.7544276306096875e-49,5.645497482783316e-47
hpgd.L,14.765102,wilcoxon,3.4873064,2.459498498377106e-49,7.834372237002226e-47
col1a1.L,14.705184,wilcoxon,3.9115014,5.970816813338935e-49,1.8828970820864332e-46
tinagl1.S,14.6867695,wilcoxon,5.6791325,7.836118089619717e-49,2.4466533064966116e-46
